year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade
2015,Sammie Coates,Sammie,Coates,WR,6,1,73,212,0,0,4.43,0,0,4.06,6.98,41,131,23,0,Auburn,,0,0,0,5.6
2015,David Cobb,David,Cobb,RB,5,11,71,229,0,0,4.81,0,0,0,0,38.5,121,17,0,Minnesota,,0,0,0,5.5
2015,Takoby Cofield,Takoby,Cofield,OT,6,4,76,310,0,0,5.19,0,0,4.79,8.09,30,101,23,0,Duke,,0,0,0,4.9
2015,Justin Coleman,Justin,Coleman,CB,5,11,71,185,0,0,4.53,0,0,3.98,6.61,37.5,124,20,0,Tennessee,,0,0,0,5.2
2015,Tevin Coleman,Tevin,Coleman,RB,5,11,71,206,0,0,0,0,0,0,0,0,0,22,0,Indiana,,0,0,0,6.1
2015,Jalen Collins,Jalen,Collins,CB,6,1,73,203,0,0,4.48,0,0,4.27,6.77,36,124,0,0,LSU,,0,0,0,6.1
2015,La'el Collins,La'el,Collins,OT,6,4,76,305,0,0,5.12,0,0,4.63,7.7,27,108,21,0,LSU,,0,0,0,6.2
2015,Landon Collins,Landon,Collins,SS,6,0,72,228,0,0,4.53,0,0,4.33,7.38,35,120,0,0,Alabama,,0,0,0,6.4
2015,Chris Conley,Chris,Conley,WR,6,2,74,213,0,0,4.35,0,0,4.3,7.06,45,139,18,0,Georgia,,0,0,0,5.5
2015,Amari Cooper,Amari,Cooper,WR,6,1,73,211,0,0,4.42,0,0,3.98,6.71,33,120,0,0,Alabama,,0,0,0,7
2015,Xavier Cooper,Xavier,Cooper,DT,6,3,75,293,0,0,4.86,0,0,4.37,7.23,29,110,29,0,Washington St.,,0,0,0,5.4
2015,Christian Covington,Christian,Covington,DT,6,2,74,289,0,0,0,0,0,0,0,0,0,0,0,Rice,,0,0,0,5.4
2015,Justin Cox,Justin,Cox,FS,6,1,73,191,0,0,4.36,0,0,4.07,7.05,38,129,15,0,Mississippi St.,,0,0,0,4.9
2015,Corey Crawford,Corey,Crawford,DE,6,5,77,283,0,0,5.01,0,0,4.65,7.64,33,110,0,0,Clemson,,0,0,0,4.9
2015,Rob Crisp,Rob,Crisp,OT,6,7,79,301,0,0,5.26,0,0,4.6,8.07,32.5,107,26,0,N.C. State,,0,0,0,5.5
2015,John Crockett,John,Crockett,RB,6,0,72,217,0,0,4.62,0,0,4.25,7.15,40,125,15,0,North Dakota St.,,0,0,0,5.2
2015,Jamison Crowder,Jamison,Crowder,WR,5,8,68,185,0,0,4.56,0,0,4.32,7.17,37,115,10,0,Duke,,0,0,0,5.4
2015,Yannik Cudjoe-Virgil,Yannik,Cudjoe-Virgil,OLB,6,2,74,248,0,0,0,0,0,0,0,0,0,25,0,Maryland,,0,0,0,4.8
2015,Davaris Daniels,Davaris,Daniels,WR,6,1,73,201,0,0,4.62,0,0,0,0,37,122,13,0,Notre Dame,,0,0,0,5.2
2015,Ronald Darby,Ronald,Darby,CB,5,11,71,193,0,0,4.38,0,0,4.14,6.94,41.5,129,12,0,Florida St.,,0,0,0,5.6
2015,Aaron Davis,Aaron,Davis,OLB,6,0,72,225,0,0,4.95,0,0,4.37,7.38,29,107,16,0,Colorado St.,,0,0,0,5.2
2015,Carl Davis,Carl,Davis,DT,6,5,77,320,0,0,5.07,0,0,4.47,7.91,33,103,0,0,Iowa,,0,0,0,5.9
2015,Devante Davis,Devante,Davis,WR,6,3,75,220,0,0,4.57,0,0,4.12,7.25,35.5,115,16,0,UNLV,,0,0,0,5.2
2015,Geremy Davis,Geremy,Davis,WR,6,2,74,216,0,0,0,0,0,4.18,6.86,36.5,124,23,0,Connecticut,,0,0,0,4.8
2015,Mike Davis,Mike,Davis,RB,5,9,69,217,0,0,4.61,0,0,4.18,7,34,116,17,0,South Carolina,,0,0,0,5.4
2015,Titus Davis,Titus,Davis,WR,6,1,73,196,0,0,4.51,0,0,4.28,7.14,32.5,119,0,0,Central Michigan,,0,0,0,5.4
2015,Tyeler Davison,Tyeler,Davison,DT,6,2,74,316,0,0,5.18,0,0,4.46,7.53,33,105,32,0,Fresno St.,,0,0,0,5.5
2015,Paul Dawson,Paul,Dawson,ILB,6,0,72,235,0,0,4.93,0,0,4.49,0,28,109,21,0,TCU,,0,0,0,6
2015,Ryan Delaire,Ryan,Delaire,DE,6,4,76,254,0,0,4.97,0,0,0,0,0,0,23,0,Towson,,0,0,0,5
2015,Trey DePriest,Trey,DePriest,ILB,6,0,72,254,0,0,0,0,0,0,0,0,0,0,0,Alabama,,0,0,0,5.1
2015,A.J. Derby,A.J.,Derby,TE,6,4,76,255,0,0,0,0,0,0,0,0,0,15,0,Arkansas,,0,0,0,5.3
2015,Xzavier Dickson,Xzavier,Dickson,OLB,6,3,75,260,0,0,4.74,0,0,4.53,7.56,29.5,100,19,0,Alabama,,0,0,0,5.1
2015,Quandre Diggs,Quandre,Diggs,CB,5,9,69,196,0,0,4.56,0,0,4.15,7.22,35.5,113,17,0,Texas,,0,0,0,5.2
2015,Stefon Diggs,Stefon,Diggs,WR,6,0,72,195,0,0,4.46,0,0,4.32,7.03,35,115,0,0,Maryland,,0,0,0,5.6
2015,Reese Dismukes,Reese,Dismukes,C,6,3,75,296,0,0,5.31,0,0,4.7,8.14,27.5,107,23,0,Auburn,,0,0,0,5.3
2015,Andrew Donnal,Andrew,Donnal,OT,6,6,78,313,0,0,5.31,0,0,4.77,7.84,32,101,17,0,Iowa,,0,0,0,5.4
2015,Phillip Dorsett,Phillip,Dorsett,WR,5,10,70,185,0,0,4.33,0,0,4.11,6.7,37,122,13,0,Miami,,0,0,0,5.7
2015,Lorenzo Doss,Lorenzo,Doss,CB,5,10,70,182,0,0,4.5,0,0,4.26,7.2,33.5,115,9,0,Tulane,,0,0,0,5.6
2015,Jamil Douglas,Jamil,Douglas,OG,6,4,76,304,0,0,5.25,0,0,4.75,7.99,29,99,28,0,Arizona State,,0,0,0,5.2
2015,Kurtis Drummond,Kurtis,Drummond,FS,6,1,73,208,0,0,4.65,0,0,4.33,7.09,39.5,119,0,0,Michigan St.,,0,0,0,5.5
2015,B.J. Dubose,B.J.,Dubose,OLB,6,4,76,284,0,0,5.06,0,0,0,0,0,0,26,0,Louisville,,0,0,0,5.2
2015,Bud Dupree,Bud,Dupree,OLB,6,4,76,269,0,0,4.56,0,0,0,0,42,138,0,0,Kentucky,,0,0,0,5.9
2015,Michael Dyer,Michael,Dyer,RB,5,8,68,218,0,0,4.58,0,0,0,0,34,120,26,0,Louisville,,0,0,0,4.9
2015,Jahwan Edwards,Jahwan,Edwards,RB,5,9,69,220,0,0,4.8,0,0,4.5,7.63,35.5,117,16,0,Ball St.,,0,0,0,5.1
2015,Mario Edwards, Jr.,Mario,Edwards, Jr.,DT,6,3,75,279,0,0,4.84,0,0,4.55,7.44,32.5,120,32,0,Florida St.,,0,0
2015,Ifo Ekpre-Olomu,Ifo,Ekpre-Olomu,CB,5,9,69,192,0,0,0,0,0,0,0,0,0,0,0,Oregon,,0,0,0,5.6
2015,Kyle Emanuel,Kyle,Emanuel,OLB,6,3,75,255,0,0,4.77,0,0,4.25,7.1,34,120,27,0,North Dakota St.,,0,0,0,5.5
2015,Cameron Erving,Cameron,Erving,C,6,5,77,313,0,0,5.15,0,0,4.63,7.48,30.5,112,30,0,Florida St.,,0,0,0,5.8
2015,Durell Eskridge,Durell,Eskridge,FS,6,3,75,208,0,0,4.63,0,0,4.26,7.09,31,117,0,0,Syracuse,,0,0,0,5.2
2015,Tayo Fabuluje,Tayo,Fabuluje,OG,6,6,78,353,0,0,5.55,0,0,4.77,0,29.5,0,0,0,TCU,,0,0,0,5.3
2015,Cody Fajardo,Cody,Fajardo,QB,6,1,73,223,0,0,4.63,0,0,4.1,6.95,32.5,118,0,0,Nevada,,0,0,0,5
2015,Jon Feliciano,Jon,Feliciano,OG,6,4,76,323,0,0,5.33,0,0,4.74,0,26.5,97,0,0,Miami,,0,0,0,4.8
2015,Sam Ficken,Sam,Ficken,K,6,1,73,191,0,0,0,0,0,0,0,0,0,0,0,Penn St.,,0,0,0,4.8
2015,B.J. Finney,B.J.,Finney,C,6,4,76,318,0,0,5.25,0,0,4.76,0,24,99,20,0,Kansas St.,,0,0,0,5.6
2015,Jake Fisher,Jake,Fisher,OT,6,6,78,306,0,0,5.01,0,0,4.33,7.25,32.5,0,25,0,Oregon,,0,0,0,5.7
2015,Ereck Flowers,Ereck,Flowers,OT,6,6,78,329,0,0,5.31,0,0,0,0,0,0,37,0,Miami,,0,0,0,6
2015,Trey Flowers,Trey,Flowers,DE,6,2,74,266,0,0,4.93,0,0,4.4,7.34,36.5,121,28,0,Arkansas,,0,0,0,5.6
2015,Jalston Fowler,Jalston,Fowler,FB,5,11,71,254,0,0,4.94,0,0,4.4,7.56,33.5,114,23,0,Alabama,,0,0,0,5.1
2015,Dante Fowler, Jr.,Dante,Fowler, Jr.,OLB,6,3,75,261,0,0,4.6,0,0,4.32,7.4,32.5,112,19,0,Florida,,0,0
2015,Alani Fua,Alani,Fua,OLB,6,5,77,238,0,0,4.73,0,0,4.15,6.83,34.5,118,18,0,BYU,,0,0,0,5.3
2015,Devin Funchess,Devin,Funchess,WR,6,4,76,232,0,0,4.7,0,0,0,0,38.5,122,17,0,Michigan,,0,0,0,5.6
2015,Charles Gaines,Charles,Gaines,CB,5,10,70,180,0,0,4.44,0,0,4.2,7.07,34.5,123,0,0,Louisville,,0,0,0,5.5
2015,Andy Gallik,Andy,Gallik,C,6,2,74,306,0,0,5.5,0,0,4.58,7.66,27,96,29,0,Boston College,,0,0,0,5.5
2015,Max Garcia,Max,Garcia,C,6,4,76,309,0,0,0,0,0,0,0,0,0,0,0,Florida,,0,0,0,5.2
2015,Clayton Geathers,Clayton,Geathers,SS,6,2,74,218,0,0,4.55,0,0,4.27,7.21,37,120,22,0,Central Florida,,0,0,0,5.2
2015,Laurence Gibson,Laurence,Gibson,OT,6,6,78,305,0,0,5.04,0,0,4.56,7.72,33.5,113,24,0,Virginia Tech,,0,0,0,4.9
2015,Jacoby Glenn,Jacoby,Glenn,CB,6,0,72,179,0,0,4.64,0,0,4.26,6.97,34,123,0,0,Central Florida,,0,0,0,5.2
2015,Mark Glowinski,Mark,Glowinski,OG,6,4,76,307,0,0,5.2,0,0,4.58,7.56,29.5,113,31,0,West Virginia,,0,0,0,5.4
2015,Markus Golden,Markus,Golden,DE,6,2,74,260,0,0,4.9,0,0,0,0,0,0,0,0,Missouri,,0,0,0,5.5
2015,Eddie Goldman,Eddie,Goldman,DT,6,4,76,336,0,0,0,0,0,0,0,0,0,0,0,Florida St.,,0,0,0,6.1
2015,Senquez Golson,Senquez,Golson,CB,5,9,69,176,0,0,4.46,0,0,4.2,6.81,33.5,120,15,0,Mississippi,,0,0,0,5.8
2015,Antwan Goodley,Antwan,Goodley,WR,5,10,70,209,0,0,4.44,0,0,0,0,0,0,0,0,Baylor,,0,0,0,5.5
2015,Melvin Gordon,Melvin,Gordon,RB,6,1,73,215,0,0,4.52,0,0,4.07,7.04,35,126,19,0,Wisconsin,,0,0,0,6.2
2015,Doran Grant,Doran,Grant,CB,5,10,70,200,0,0,4.44,0,0,4.33,0,33,116,21,0,Ohio St.,,0,0,0,5.3
2015,Hroniss Grasu,Hroniss,Grasu,C,6,3,75,297,0,0,0,0,0,0,0,0,0,0,0,Oregon,,0,0,0,5.7
2015,Garrett Grayson,Garrett,Grayson,QB,6,2,74,213,0,0,0,0,0,0,0,0,0,0,0,Colorado St.,,0,0,0,5.4
2015,Chaz Green,Chaz,Green,OT,6,5,77,314,0,0,5.16,0,0,4.7,8,29.5,106,21,0,Florida,,0,0,0,5.1
2015,Dorial Green-Beckham,Dorial,Green-Beckham,WR,6,5,77,237,0,0,4.49,0,0,4.45,6.89,33.5,119,13,0,Missouri,,0,0,0,5.7
2015,Rashad Greene,Rashad,Greene,WR,5,11,71,182,0,0,4.53,0,0,4.12,6.88,36.5,122,0,0,Florida St.,,0,0,0,5.7
2015,Randy Gregory,Randy,Gregory,OLB,6,5,77,235,0,0,4.64,0,0,0,0,36.5,125,24,0,Nebraska,,0,0,0,6.4
2015,Geneo Grissom,Geneo,Grissom,DE,6,3,75,262,0,0,4.81,0,0,4.38,7.24,37,117,20,0,Oklahoma,,0,0,0,5.4
2015,Ladarius Gunter,Ladarius,Gunter,CB,6,1,73,202,0,0,4.69,0,0,4.41,7.18,33.5,108,12,0,Miami,,0,0,0,5.4
2015,Todd Gurley,Todd,Gurley,RB,6,1,73,222,0,0,0,0,0,0,0,0,0,17,0,Georgia,,0,0,0,6.3
2015,Obum Gwacham,Obum,Gwacham,DE,6,5,77,246,0,0,4.72,0,0,4.28,7.28,36,121,22,0,Oregon St.,,0,0,0,5.2
2015,Chris Hackett,Chris,Hackett,FS,6,0,72,195,0,0,4.81,0,0,4.2,7.12,32,110,0,0,TCU,,0,0,0,5.1
2015,Bryce Hager,Bryce,Hager,ILB,6,1,73,234,0,0,4.6,0,0,4.36,7.15,35,117,26,0,Baylor,,0,0,0,5.1
2015,Rannell Hall,Rannell,Hall,WR,6,0,72,198,0,0,4.6,0,0,4.15,6.86,41,132,16,0,Central Florida,,0,0,0,5.2
2015,Connor Halliday,Connor,Halliday,QB,6,3,75,196,0,0,0,0,0,0,0,0,0,0,0,Washington St.,,0,0,0,5.1
2015,Chad Hamilton,Chad,Hamilton,C,6,2,74,292,0,0,0,0,0,0,0,0,0,0,0,Coastal Carolina,,0,0,0,5.2
2015,Marcus Hardison,Marcus,Hardison,DE,6,3,75,307,0,0,0,0,0,0,0,0,0,27,0,Arizona State,,0,0,0,5.6
2015,Justin Hardy,Justin,Hardy,WR,5,10,70,192,0,0,4.56,0,0,4.21,6.63,36.5,114,11,0,East Carolina,,0,0,0,5.4
2015,Eli Harold,Eli,Harold,OLB,6,3,75,247,0,0,4.6,0,0,4.16,7.07,35,123,0,0,Virginia,,0,0,0,5.9
2015,Josh Harper,Josh,Harper,WR,6,1,73,191,0,0,4.64,0,0,4.36,7.15,32,108,13,0,Fresno St.,,0,0,0,5.4
2015,Anthony Harris,Anthony,Harris,SS,6,1,73,183,0,0,4.56,0,0,0,0,0,0,0,0,Virginia,,0,0,0,5.6
2015,Jarvis Harrison,Jarvis,Harrison,OG,6,4,76,330,0,0,5.19,0,0,4.62,7.51,29.5,102,26,0,Texas A&M,,0,0,0,5.7
2015,Bobby Hart,Bobby,Hart,OG,6,5,77,329,0,0,0,0,0,0,0,0,0,0,0,Florida St.,,0,0,0,5.1
2015,Dee Hart,Dee,Hart,RB,5,7,67,199,0,0,4.8,0,0,4.38,7.2,33,113,0,0,Colorado St.,,0,0,0,5
2015,Rob Havenstein,Rob,Havenstein,OT,6,7,79,321,0,0,5.46,0,0,4.87,8.28,28.5,96,16,0,Wisconsin,,0,0,0,5.8
2015,Braylon Heard,Braylon,Heard,RB,5,10,70,198,0,0,4.63,0,0,4.4,7.19,30.5,116,19,0,Kentucky,,0,0,0,5.3
2015,Ben Heeney,Ben,Heeney,ILB,6,0,72,231,0,0,4.59,0,0,4,6.68,33.5,120,19,0,Kansas,,0,0,0,5.2
2015,Amarlo Herrera,Amarlo,Herrera,ILB,6,1,73,244,0,0,4.83,0,0,4.27,7.35,32,111,23,0,Georgia,,0,0,0,5.1
2015,Jeff Heuerman,Jeff,Heuerman,TE,6,5,77,254,0,0,0,0,0,0,0,0,0,26,0,Ohio St.,,0,0,0,5.4
2015,Sean Hickey,Sean,Hickey,OT,6,5,77,309,0,0,0,0,0,0,0,0,0,35,0,Syracuse,,0,0,0,5.2
2015,Jordan Hicks,Jordan,Hicks,OLB,6,1,73,236,0,0,4.68,0,0,4.15,6.78,38,124,20,0,Texas,,0,0,0,5.4
2015,Troy Hill,Troy,Hill,CB,5,10,70,182,0,0,4.55,0,0,4.21,6.81,32.5,120,0,0,Oregon,,0,0,0,5.4
2015,Kenny Hilliard,Kenny,Hilliard,RB,6,0,72,226,0,0,4.83,0,0,4.4,7.17,27,111,0,0,LSU,,0,0,0,4.8
2015,Zack Hodges,Zack,Hodges,OLB,6,2,74,250,0,0,4.68,0,0,4.65,0,33.5,125,0,0,Harvard,,0,0,0,5.2
2015,Gerod Holliman,Gerod,Holliman,FS,6,0,72,218,0,0,0,0,0,0,0,0,0,17,0,Louisville,,0,0,0,5.5
2015,Mike Hull,Mike,Hull,OLB,6,0,72,237,0,0,4.68,0,0,4.15,6.99,0,0,31,0,Penn St.,,0,0,0,5.2
2015,D.J. Humphries,D.J.,Humphries,OT,6,5,77,307,0,0,5.12,0,0,4.64,7.87,31,104,26,0,Florida,,0,0,0,5.8
2015,Brett Hundley,Brett,Hundley,QB,6,3,75,226,0,0,4.63,0,0,3.98,6.93,36,120,0,0,UCLA,,0,0,0,5.5
2015,Danielle Hunter,Danielle,Hunter,DE,6,5,77,252,0,0,4.57,0,0,0,0,0,0,25,0,LSU,,0,0,0,5.7
2015,Martin Ifedi,Martin,Ifedi,DE,6,3,75,275,0,0,4.88,0,0,4.58,7.39,31,111,16,0,Memphis,,0,0,0,5
2015,Joey Iosefa,Joey,Iosefa,RB,6,0,72,247,0,0,5.02,0,0,4.33,7.24,31.5,110,30,0,Hawaii,,0,0,0,4.8
2015,Tre' Jackson,Tre',Jackson,OG,6,4,76,330,0,0,5.52,0,0,0,0,25,96,0,0,Florida St.,,0,0,0,5.7
2015,Jesse James,Jesse,James,TE,6,7,79,261,0,0,4.83,0,0,4.5,0,37.5,121,26,0,Penn St.,,0,0,0,5.1
2015,Grady Jarrett,Grady,Jarrett,NT,6,1,73,304,0,0,5.06,0,0,4.56,7.37,31,112,30,0,Clemson,,0,0,0,5.8
2015,Kyshoen Jarrett,Kyshoen,Jarrett,SS,5,10,70,200,0,0,4.57,0,0,4.4,6.95,33,109,21,0,Virginia Tech,,0,0,0,5.2
2015,Anthony Jefferson,Anthony,Jefferson,CB,6,1,73,198,0,0,4.72,0,0,4.15,7.18,33.5,116,15,0,UCLA,,0,0,0,4.9
2015,David Johnson,David,Johnson,RB,6,1,73,224,0,0,4.5,0,0,4.27,6.82,41.5,127,25,0,Northern Iowa,,0,0,0,5.3
2015,Duke Johnson,Duke,Johnson,RB,5,9,69,207,0,0,4.54,0,0,0,0,33.5,121,0,0,Miami,,0,0,0,5.9
2015,Gus Johnson,Gus,Johnson,RB,5,10,70,215,0,0,4.7,0,0,4.13,7.09,36.5,120,26,0,Stephen F. Austin,,0,0,0,4.9
2015,Kevin Johnson,Kevin,Johnson,CB,6,0,72,188,0,0,4.52,0,0,3.89,6.79,41.5,130,0,0,Wake Forest,,0,0,0,5.9
2015,Will Johnson,Will,Johnson,P,6,2,74,206,0,0,0,0,0,0,0,0,0,0,0,Texas St.,,0,0,0,0
2015,Byron Jones,Byron,Jones,CB,6,1,73,199,0,0,0,0,0,3.94,6.78,44.5,147,0,0,Connecticut,,0,0,0,5.3
2015,Christion Jones,Christion,Jones,WR,5,10,70,182,0,0,4.63,0,0,4.19,6.91,32.5,119,8,0,Alabama,,0,0,0,0
2015,Matt Jones,Matt,Jones,RB,6,2,74,231,0,0,4.61,0,0,4.2,0,31.5,112,20,0,Florida,,0,0,0,5.3
2015,Taiwan Jones,Taiwan,Jones,ILB,6,3,75,245,0,0,4.95,0,0,4.33,7.25,32,115,19,0,Michigan St.,,0,0,0,5.4
2015,Eric Kendricks,Eric,Kendricks,ILB,6,0,72,232,0,0,4.61,0,0,0,0,38,124,19,0,UCLA,,0,0,0,5.8
2015,Hau'oli Kikaha,Hau'oli,Kikaha,OLB,6,2,74,253,0,0,0,0,0,0,0,0,0,0,0,Washington,,0,0,0,5.8
2015,Arie Kouandjio,Arie,Kouandjio,OG,6,5,77,310,0,0,0,0,0,0,0,0,0,0,0,Alabama,,0,0,0,5.3
